Rk,PER,TS%,FTr,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
130,16,0.602,0.215,16.7,,2.1,1.9,4,0.119,,-0.3,0.8,0.5,1
131,13.3,0.519,0.18,16.2,,0.6,0.5,1,0.064,,-1,-0.7,-1.8,0.1
131,14,0.544,0.208,14.9,,0.2,0.1,0.3,0.08,,-0.9,-0.1,-1.1,0
131,13.2,0.514,0.173,16.6,,0.4,0.4,0.8,0.059,,-1,-0.9,-1.9,0
132,4.3,0.255,0.4,16.5,,0,0,0,-0.055,,-7,-5,-12,0
133,11.1,0.532,0.215,17.9,,0.5,0,0.5,0.028,,-1.7,-2.8,-4.4,-0.5
133,7.5,0.482,0.211,13.7,,0,0.1,0.1,0.043,,-3.5,-0.6,-4.1,-0.1
133,11.5,0.537,0.215,18.4,,0.5,-0.1,0.4,0.026,,-1.4,-3,-4.5,-0.4
134,14.6,0.588,0.297,15.8,,0.5,0.3,0.8,0.101,,0.2,-0.3,0,0.2
135,19.6,0.542,0.336,27.9,,3.6,2.6,6.3,0.112,,1,0.1,1.1,2.2
136,19.4,0.653,0.152,24.4,,0.2,0,0.2,0.155,,2.6,-5.3,-2.7,0
137,17.5,0.644,0.247,16,,1.4,1.2,2.6,0.14,,-1.1,0.1,-0.9,0.2
138,10.1,0.497,0.358,16.6,,0.1,0.7,0.8,0.069,,-4.4,0.2,-4.2,-0.3
139,18.1,0.572,0.281,19.6,,1.5,1.3,2.8,0.132,,-0.3,0.9,0.6,0.7
140,16.3,0.58,0.43,24.9,,3.5,1.4,4.8,0.121,,1.4,-0.8,0.6,1.3
141,9.1,0.507,0.097,15.1,,0,0.6,0.6,0.069,,-2.8,0.6,-2.2,0
142,19.6,0.545,0.409,30.5,,2.1,2.8,4.9,0.101,,3.6,0.3,3.9,3.4
143,11.2,0.509,0.231,19.7,,0.2,0.4,0.6,0.043,,-1.4,-2.1,-3.5,-0.3
143,7.8,0.448,0.292,17.9,,-0.2,0.1,-0.1,-0.01,,-3.4,-1.5,-4.9,-0.2
143,13.1,0.541,0.2,20.7,,0.4,0.3,0.7,0.073,,-0.3,-2.4,-2.7,-0.1
144,10.8,0.526,0.14,17.3,,0.7,0.9,1.5,0.037,,-1.7,-0.9,-2.6,-0.3
145,16,0.434,0.095,18.5,,0.1,0.1,0.1,0.125,,-1.3,-0.6,-2,0
146,13.9,0.517,0.233,23.7,,0.6,1,1.6,0.079,,-0.5,-0.6,-1.1,0.2
147,23.4,0.555,0.392,22.9,,4.1,5.9,10,0.181,,1.3,0.8,2.1,2.7
148,7.8,0.554,0.192,10.4,,0.6,1.2,1.8,0.07,,-2.9,1.1,-1.8,0.1
149,12.4,0.484,0.136,20.1,,-0.5,1.2,0.6,0.022,,-2.8,0.2,-2.7,-0.2
150,24.2,0.631,0.366,29,,8.6,2.9,11.5,0.204,,5.4,0.1,5.5,5.1
151,38.3,0.833,0,20.9,,0.1,0,0.1,0.537,,19.1,5.3,24.4,0
152,3.8,0.375,0,10.9,,0,0,0,-0.014,,-1.6,-4.8,-6.4,0
153,13.1,0.538,0.263,19,,0.2,0.2,0.4,0.077,,-1,-0.5,-1.5,0
153,14.8,0.551,0.2,18.8,,0,0,0.1,0.149,,2.1,0.2,2.2,0
153,12.9,0.536,0.271,19,,0.1,0.2,0.3,0.07,,-1.4,-0.5,-1.9,0
154,11.8,0.569,0.107,17.2,,1.3,1.4,2.6,0.097,,-0.3,0.3,0,0.7
154,10.8,0.547,0.087,16.5,,0.4,0.6,1,0.091,,-0.7,0.9,0.2,0.3
154,12.5,0.584,0.121,17.7,,0.9,0.7,1.6,0.102,,0,-0.1,-0.1,0.4
155,26.1,0.593,0.541,33.3,,4.9,3.8,8.7,0.194,,4,0.9,4.9,3.8
156,11,0.59,0.276,12.7,,1.6,1,2.6,0.103,,-1.4,-0.2,-1.5,0.1
156,11.3,0.622,0.275,11.9,,1.4,0.8,2.2,0.112,,-1,0.1,-0.9,0.3
156,9.9,0.51,0.277,15.5,,0.2,0.2,0.4,0.071,,-2.6,-1.1,-3.7,-0.1
157,15.1,0.646,0.5,15.5,,0.1,0.2,0.3,0.12,,-1.9,0.7,-1.3,0
158,3.5,0.374,0.019,13.5,,-0.3,0.2,-0.1,-0.03,,-6.9,-1.2,-8.2,-0.3
159,0.1,0.214,0,13.2,,-0.2,0,-0.2,-0.151,,-10.4,0.1,-10.3,-0.1
159,0.7,0.231,0,12.7,,-0.2,0,-0.2,-0.139,,-9.8,0.5,-9.2,-0.1
159,-38.1,0,0,40.7,,0,0,0,-0.946,,-52.4,-29.1,-81.4,0
160,11.5,0.483,0.242,26.4,,-1.7,2,0.3,0.01,,-2.4,-0.3,-2.7,-0.2
161,11.2,0.516,0.357,21.3,,0.2,0.7,1,0.069,,-2,-0.1,-2.1,0
162,21.6,0.622,0.374,20.3,,2.1,0.9,2.9,0.193,,1.3,-1.5,-0.2,0.3
162,20.5,0.622,0.381,19.6,,0.2,0.2,0.4,0.168,,1.5,-1.1,0.4,0.1
162,21.8,0.622,0.372,20.4,,1.8,0.7,2.5,0.198,,1.3,-1.6,-0.4,0.3
163,21.8,0.624,0.368,19.4,,4.4,3.5,7.9,0.215,,1.8,1.5,3.3,2.4
164,13.4,0.568,0.408,14.3,,0.9,0.4,1.4,0.088,,-2,-2.1,-4.1,-0.4
165,11.2,0.505,0.096,16.6,,0.3,0.4,0.7,0.087,,-1.7,0.4,-1.3,0.1
166,6.4,0.566,0.118,10.6,,1.2,1.6,2.8,0.07,,-3.9,0.1,-3.8,-0.9
167,12.7,0.55,0.19,16.3,,1.3,0.6,1.9,0.087,,-1,-0.4,-1.4,0.2
168,11,0.53,0.195,14,,1.2,2,3.3,0.079,,-1.8,0.4,-1.4,0.3
169,12,0.586,0.099,17.4,,2.5,1.3,3.8,0.079,,-0.3,-0.9,-1.2,0.5
170,12.3,0.536,0.159,22.1,,0.8,2.5,3.2,0.061,,-1.8,-0.6,-2.4,-0.3
171,18.1,0.544,0.378,24.5,,3.2,2.5,5.6,0.106,,1.3,0.2,1.5,2.3
172,1.2,0.33,0.19,23.5,,-0.2,0,-0.1,-0.133,,-11.3,-3.2,-14.5,-0.1
173,11.7,0.544,0.207,13.3,,1.3,0.7,2,0.084,,-1.4,-0.4,-1.8,0.1
173,11.6,0.552,0.21,12.3,,1.1,0.4,1.5,0.081,,-1.2,-0.2,-1.3,0.2
173,11.8,0.523,0.197,17.4,,0.2,0.3,0.4,0.097,,-2.4,-1.2,-3.6,-0.1
174,3.6,0.348,0.207,24.2,,-0.2,0,-0.2,-0.166,,-8.4,-2.9,-11.3,-0.2
175,8.9,0.524,0.12,17.5,,0.1,0,0.1,0.016,,-1.7,-1.8,-3.5,-0.1
176,10.5,0.452,0.239,19.3,,-0.1,0.4,0.3,0.035,,-3.3,0.2,-3.1,-0.1
177,21,0.633,0.459,23.8,,6.4,1.8,8.2,0.191,,4.9,-0.5,4.3,3.3
178,10.7,0.534,0.164,16.1,,2.1,1.3,3.4,0.094,,-0.9,-0.6,-1.5,0.2
179,9.8,0.452,0.148,20.9,,0,0,0,-0.019,,-3.9,-1.7,-5.5,-0.1
180,16.7,0.546,0.291,20.7,,2,4,6,0.118,,0.8,2.3,3.1,3.1
180,16.9,0.541,0.294,22.3,,1,2.8,3.9,0.104,,1.1,2.1,3.2,2.3
180,16,0.565,0.278,16.3,,0.9,1.2,2.1,0.157,,0.1,2.8,2.9,0.8
181,16.7,0.529,0.426,15.6,,0.5,0.5,1.1,0.142,,1,2.1,3.1,0.5
181,18,0.544,0.432,15.8,,0.6,0.5,1.1,0.16,,1.6,2.3,3.9,0.5
181,1.7,0.291,0.333,12.4,,-0.1,0.1,0,-0.063,,-5.3,0.6,-4.7,0
182,17.5,0.583,0.197,22.1,,2.2,2.2,4.4,0.115,,0.8,0.6,1.4,1.6
183,23.3,0.583,0.335,29.5,,7,4.9,11.9,0.201,,5.6,1.6,7.2,6.6
184,17.8,0.612,0.33,17.2,,3.7,1.4,5.1,0.144,,0.3,-0.4,-0.1,0.8
185,14.4,0.526,0.261,23.2,,0,1,1,0.056,,-3.4,0.4,-3,-0.2
186,13.4,0.554,0.272,18.3,,1.5,1.9,3.3,0.074,,-0.9,0.4,-0.5,0.8
187,24.6,0.682,0.733,17.8,,8.7,5.7,14.4,0.268,,3,2.5,5.4,4.8
188,8.3,0.413,0.478,23.1,,0,0,0,0.021,,-4.7,-4.8,-9.5,-0.1
189,15.1,0.538,0.242,21.8,,1.8,3.3,5.1,0.093,,0.3,0.3,0.6,1.7
190,12.2,0.549,0.162,22,,1.7,1,2.6,0.059,,0.5,-1.8,-1.3,0.4
191,12.8,0.562,0.258,14.4,,0.6,0.8,1.4,0.089,,-1.7,0.4,-1.3,0.1
192,10.3,0.459,0.213,17,,0.2,0.3,0.5,0.035,,-2.6,-1.3,-4,-0.3
193,6.1,0.458,0.115,12.8,,-0.1,0.6,0.5,0.033,,-3.7,0,-3.7,-0.3
194,13.8,0.592,0.269,15.4,,4,3.3,7.3,0.134,,-0.4,0.6,0.2,1.5
195,10.8,0.526,0.182,13.4,,0.5,1.1,1.7,0.085,,-2.9,1.3,-1.6,0.1
196,-38.1,0,0,40.7,,0,0,0,-0.946,,-23.6,-14,-37.6,0
197,13,0.632,0.07,14.1,,3,2.9,5.9,0.128,,1.1,0.8,2,2.2
198,12.9,0.526,0.216,13.1,,1.1,3.2,4.3,0.1,,-1.3,2.7,1.4,1.8
199,11.4,0.555,0.118,19.5,,0.9,1,1.9,0.061,,-0.2,-1.5,-1.7,0.1
200,14.7,0.587,0.212,19.4,,0.9,1.9,2.9,0.101,,-1.3,-0.4,-1.7,0.1
200,14.9,0.58,0.256,20.4,,0.4,1.4,1.8,0.094,,-1.8,0,-1.8,0.1
200,14.3,0.6,0.128,17.6,,0.5,0.6,1.1,0.113,,-0.3,-1.2,-1.5,0.1
201,13.6,0.608,0.3,17.8,,2.8,0.8,3.6,0.083,,0,-1.4,-1.4,0.3
202,21,0.581,0.41,30.2,,5.1,2.9,8,0.147,,4.9,0.2,5.1,4.7
203,7.1,0.455,0.1,15.7,,-0.2,0.1,-0.1,-0.024,,-3.6,-0.5,-4.1,-0.1
