Rk,PER,TS%,3PAr,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
107,17,0.506,0.345,0.189,24.4,1.5,1.3,2.8,0.081,2.2,-0.3,1.9,1.6
107,16.3,0.492,0.295,0.202,23.5,1,1.1,2.1,0.079,1.4,-0.1,1.3,1
107,19.3,0.548,0.489,0.152,27.3,0.5,0.2,0.7,0.086,4.8,-0.9,3.9,0.6
108,15.8,0.583,0,0.343,13.3,2.9,1.1,4,0.119,-0.2,-0.8,-0.9,0.4
109,12.8,0.499,0.019,0.331,20.9,0.6,4.3,4.9,0.102,-2.6,0.7,-1.9,0
110,13,0.518,0.365,0.229,18.6,1.2,0.9,2.1,0.07,-0.8,-0.5,-1.3,0.3
111,13.1,0.517,0.554,0.146,17.7,0.9,2.6,3.5,0.105,-0.3,1.7,1.5,1.4
112,15.5,0.549,0.288,0.291,20.9,4.7,5.2,9.9,0.149,1.1,0.6,1.7,3
113,14.5,0.53,0.045,0.348,23.2,2.8,0.5,3.2,0.055,-0.9,-1.5,-2.5,-0.3
114,13.9,0.558,0.292,0.159,16.8,2.4,2.3,4.8,0.082,0.3,0.3,0.6,1.8
115,13.7,0.59,0,0.419,18.7,0.7,0.3,1,0.104,-2.4,-2.5,-4.9,-0.3
116,5.4,0.347,0,0.458,10.3,-0.3,0.3,-0.1,-0.016,-6.7,1.8,-4.9,-0.1
117,11.3,0.509,0.451,0.181,17.3,0.8,2.1,2.9,0.08,-1.4,0.2,-1.2,0.4
118,14.2,0.529,0,0.657,14.3,0.2,0.5,0.8,0.072,-1.6,0.1,-1.6,0.1
119,15.2,0.534,0.507,0.142,20.1,3,1.2,4.2,0.101,0.9,-0.6,0.4,1.2
120,11.5,0.517,0.168,0.326,18.4,0.4,1.3,1.6,0.088,-2.5,1,-1.4,0.1
121,11.7,0.457,0.08,0.136,25,-0.4,0.2,-0.1,-0.019,-3.9,0.2,-3.6,-0.1
122,13.2,0.524,0.351,0.302,22.4,0.2,0.8,1,0.04,-0.9,-0.5,-1.3,0.2
122,11.2,0.492,0.32,0.307,24,-0.7,0.5,-0.2,-0.012,-2.3,-1.2,-3.5,-0.3
122,17.7,0.604,0.432,0.288,18.9,0.9,0.3,1.2,0.157,2.5,1.2,3.7,0.5
123,15.6,0.598,0.402,0.347,16.9,4.2,1.4,5.6,0.126,1.5,0.2,1.8,2
124,5.6,0.446,0.403,0.194,12,-0.7,0.9,0.2,0.014,-3.8,0,-3.8,-0.3
125,21.9,0.537,0.005,0.307,22.9,3.7,4,7.7,0.171,2.2,2.2,4.4,3.5
126,14.6,0.593,0.488,0.24,16.9,2.6,1.9,4.5,0.129,1.1,0.4,1.6,1.5
127,0.5,0.25,0.25,0,13.8,0,0,0,-0.094,-7.3,-2.7,-10,0
128,23.6,0.589,0.269,0.439,30.6,8.6,3.3,12,0.189,5.2,-0.3,4.9,5.3
129,19.4,0.507,0.098,0.451,25.9,0.2,0.2,0.4,0.144,0.1,-2.1,-2,0
130,8.6,0.488,0.305,0.134,17.1,0.1,0.1,0.3,0.01,-2.3,-1.3,-3.5,-0.5
131,18.6,0.536,0.235,0.268,28.1,4.3,1.7,6,0.089,1.7,-0.9,0.8,2.3
132,8.9,0.529,0,0.274,11.9,0.1,0.5,0.6,0.046,-3.8,0.3,-3.5,-0.2
133,8.3,0.573,0,0.412,9,0.3,0.3,0.6,0.083,-2.9,-0.3,-3.2,-0.1
134,10.3,0.593,0,0.541,13.7,0.3,1.1,1.4,0.115,-4.6,1.6,-3,-0.1
134,10.8,0.621,0,0.557,13.8,0.4,1,1.4,0.128,-4.3,2,-2.3,0
134,6.2,0.391,0,0.429,13.2,0,0,0,0.002,-6.8,-1.4,-8.2,-0.1
135,18.8,0.678,0.009,0.322,14.9,1.2,0.4,1.6,0.167,1.5,0.6,2.1,0.5
136,9.1,0.513,0.394,0.137,14.2,1,0.7,1.7,0.054,-2.2,-1,-3.2,-0.5
136,7.5,0.492,0.443,0.139,13,0.3,0.6,0.9,0.05,-3.1,-0.5,-3.7,-0.4
136,10.9,0.531,0.35,0.135,15.8,0.7,0.2,0.9,0.058,-1.1,-1.6,-2.7,-0.1
137,12.4,0.466,0.01,0.854,10.1,0.5,0.8,1.3,0.077,-0.9,-0.6,-1.5,0.1
138,14.4,0.482,0.159,0.285,25.3,-0.1,1.7,1.6,0.036,-0.1,0.2,0,1.1
139,0.6,0.222,0.4,0.8,19.5,-0.1,0,-0.1,-0.158,-5.6,-3.4,-9.1,0
