Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
96,8.8,0.497,0.136,15.6,-0.5,1.7,1.2,0.029,-2.8,-0.4,-3.1,-0.6
97,4.1,0.485,0.167,8.9,-0.1,0.1,0.1,0.017,-6.4,-0.3,-6.7,-0.2
98,16.2,0.575,0.323,19.7,3.8,2,5.9,0.136,1.1,0.4,1.5,1.8
99,11.8,0.599,0.386,11.6,2,1.6,3.6,0.128,-1.3,0.5,-0.9,0.4
100,20,0.545,0.268,24.6,5.5,2.7,8.2,0.161,3.4,0.3,3.8,3.6
101,17.6,0.621,0.12,23.7,0.6,0.4,1,0.186,4.2,0.3,4.5,0.4
102,26.1,0.555,0.5,32.7,4.1,3.8,7.9,0.166,3.6,1.6,5.2,4.2
103,15,0.571,0,19.3,0.1,0,0.1,0.122,1.5,-0.8,0.7,0
104,7.7,0.475,0.121,16.5,0,0.1,0.1,0.037,-4.6,-1.4,-6.1,-0.1
105,17.3,0.556,0.318,27.2,3.8,1.5,5.3,0.122,3,-1.4,1.6,1.9
106,14.3,0.516,0.214,23.7,1.5,1.4,2.8,0.073,0.6,-1.2,-0.6,0.6
106,15.7,0.525,0.277,22,1.7,0.7,2.4,0.096,1.5,-1,0.5,0.8
106,11.9,0.503,0.129,26.8,-0.2,0.7,0.4,0.033,-1.1,-1.5,-2.7,-0.1
107,11.9,0.551,0.206,13.2,1.2,1.1,2.3,0.089,-0.7,0.8,0.2,0.7
108,12.6,0.474,0.132,15.1,0.9,2,2.9,0.085,-1.7,0.9,-0.8,0.5
109,8.5,0.464,0.762,16.6,0.1,0,0.1,0.075,-5.1,1.1,-4.1,0
109,-1.8,0.347,1,10.1,-0.1,0,-0.1,-0.11,-9,-2.4,-11.4,-0.1
109,12.4,0.477,0.737,19.1,0.1,0,0.2,0.145,-3.7,2.4,-1.3,0
110,13.8,0.5,0,10.3,0,0,0,0.131,-2.5,7.1,4.7,0
110,0,,,0,0,0,0,0.006,-7.3,0.7,-6.6,0
110,19.9,0.5,0,14.9,0,0,0,0.187,-0.3,10,9.7,0
111,24.1,0.61,0.252,28.3,9.3,4,13.4,0.225,6.3,1.1,7.4,6.7
